user_id,t8_correct_gpt4o,truncated_T8_relpath,truncated_T8_sha256,summary_T8_relpath,summary_T8_sha256
user_043ea160,True,data/esrc/pool_en/truncated_queries/T8/user_043ea160.txt,90a90cc54d36437febd147628ba220075ff73bb11fe257251350da41481c429b,data/esrc/pool_en/summaries/T8/user_043ea160.txt,f648ba9c622895256fae3482b4ba19c14ed31b32df0d122d1f73b6d98ba31f63
user_07cb458d,False,data/esrc/pool_en/truncated_queries/T8/user_07cb458d.txt,fe89a792a79208dd4948a61a66bdf93213634c6081f0d7ae28d00dc39d405cd6,data/esrc/pool_en/summaries/T8/user_07cb458d.txt,c11549d3f75dae1bcb35946648ce2d106a05844066ccdec5771ae506b9f7cf1a
user_11e8421f,True,data/esrc/pool_en/truncated_queries/T8/user_11e8421f.txt,fe85625c1adf1d45fc9244c782d74311a0704d9ef39272957a527328fa5e7cd4,data/esrc/pool_en/summaries/T8/user_11e8421f.txt,8371cbf58ef05afd4e87e51b9efc83afa19ac7f48cc48c56f5fb669d44ebd36a
user_126670d7,True,data/esrc/pool_en/truncated_queries/T8/user_126670d7.txt,969bf889d44d887c3499c369c5ab84e38ee81b6d85dd3e27cf744d93fcfa2b7d,data/esrc/pool_en/summaries/T8/user_126670d7.txt,fa9b2718e18c2f77d5f9cef173524a98e76ac2d3a13ea6046b5fc9fbea1599a4
user_13fb2e34,True,data/esrc/pool_en/truncated_queries/T8/user_13fb2e34.txt,801452f174ffd9d32d2669b8746c1c76b9dac4c47581b48b0549d42b170e10cf,data/esrc/pool_en/summaries/T8/user_13fb2e34.txt,1948c74cc54bea49f9b295c6b0f45eaf95400a08c36dcd43ee01662066998448
user_159646d5,True,data/esrc/pool_en/truncated_queries/T8/user_159646d5.txt,3aeb2fa06b61b49b9a8d0448494d955e058a1524a38eeac6053f495420698e28,data/esrc/pool_en/summaries/T8/user_159646d5.txt,43741cf939543c1a6c030dc6769c0aad578215e9e8101d4ea8e689abde7c622e
user_16b87e34,True,data/esrc/pool_en/truncated_queries/T8/user_16b87e34.txt,3d0f803fddbf660d1c6581f796e087253f19e77b4aaf88266daf5eb4982edece,data/esrc/pool_en/summaries/T8/user_16b87e34.txt,2caaaf4780a9be8a5831bef3cd4f607fb5d66031c149e1d731fd9da01d1d8bc9
user_19641691,True,data/esrc/pool_en/truncated_queries/T8/user_19641691.txt,4ef98d5e2f05c4226ef370c44968c5d8e756244d9d83178df2693bcdec31e7da,data/esrc/pool_en/summaries/T8/user_19641691.txt,e541847dc1526f92706d47dbdee4871c88c7efa5aa1607337562cff9243756e1
user_1b2d69c1,True,data/esrc/pool_en/truncated_queries/T8/user_1b2d69c1.txt,92964d368674b0cf8cdabe17b73176df11b1edfda806c2dac2c02392c483ebd4,data/esrc/pool_en/summaries/T8/user_1b2d69c1.txt,46be19c8cc7756e0ebeaf7e23f166e3e41faa01fa4632a53a3f94a4050335deb
user_1d775dd8,False,data/esrc/pool_en/truncated_queries/T8/user_1d775dd8.txt,01d8d9b509d48cd38bf069867b751e8aa21f3e7ef7db236abfeace628fc9b781,data/esrc/pool_en/summaries/T8/user_1d775dd8.txt,d5d23f7b80d7c0689452104d0d9427a72bd1aa037780297511d83074b6c31e45
user_1e302679,True,data/esrc/pool_en/truncated_queries/T8/user_1e302679.txt,e09619c2d83bf10f1c9419b83b1f03784b4866281d3d6fb800f7cf01d233ccff,data/esrc/pool_en/summaries/T8/user_1e302679.txt,f11c54db7708cfe584d0ffa10cbcca296d242f542caced6845dc35afaba47df2
user_1f636ddc,False,data/esrc/pool_en/truncated_queries/T8/user_1f636ddc.txt,a77f162645ef3964d137e9dfd54378cfd47ea9164050096f74251bd0d658df7e,data/esrc/pool_en/summaries/T8/user_1f636ddc.txt,f33efe36800ded43df1893103df4abbd54fa6cb489336d490c5202474136ba64
user_2373103d,False,data/esrc/pool_en/truncated_queries/T8/user_2373103d.txt,a38efd852f66b15b8ad4e21509b4e77f750d18a98c626bd2196a40f8d6b3889e,data/esrc/pool_en/summaries/T8/user_2373103d.txt,51cb5978615b0f37654a6383a45552666f8fee4e6acdbdee9bbf0d2623dc0f40
user_2c3eb234,True,data/esrc/pool_en/truncated_queries/T8/user_2c3eb234.txt,d2618c114f5e0587c73ee793328f38c7f31c1305940a7a655955617959065f7c,data/esrc/pool_en/summaries/T8/user_2c3eb234.txt,2cb7259faeea94f4a93332599230648e4e609f536f6540abad4c49260c38a929
user_2dd189e3,False,data/esrc/pool_en/truncated_queries/T8/user_2dd189e3.txt,e7fde904e22e2cc9e8078b69cc65e207e5739d82388ae2c22189899ad6d6acdb,data/esrc/pool_en/summaries/T8/user_2dd189e3.txt,81975520a478ae256d156f363d0f1256e3cf93af4affc723aa9eba11fa01d216
user_3049510b,False,data/esrc/pool_en/truncated_queries/T8/user_3049510b.txt,7d2851dcb126e1c13102dd39e8cfbd957c4b22f2bd6615f998069ee7166e4568,data/esrc/pool_en/summaries/T8/user_3049510b.txt,ec93d3504c8d2faded3bb446d5ab54d313ab200eecaac102d3bab00e1266986b
user_30802254,True,data/esrc/pool_en/truncated_queries/T8/user_30802254.txt,7ac1dc499f6a632b63555eab358d18c12a351d3a467b9f369dd64057c54c0087,data/esrc/pool_en/summaries/T8/user_30802254.txt,3feacdaf054561b296ddead85ac66cca899fe5779c4b96d7cb1199fe509af39d
user_3121653d,False,data/esrc/pool_en/truncated_queries/T8/user_3121653d.txt,5d27abcb77c718db6196bc5e8ae794def56d93cfab66c89cfd0374e10003c48b,data/esrc/pool_en/summaries/T8/user_3121653d.txt,f099077224ceef428835cec0b1a324be902621129d9e5708c847e285479efbb2
user_3353b96b,True,data/esrc/pool_en/truncated_queries/T8/user_3353b96b.txt,06170d331a18456b36c9ba2ec8992413345e0c6178abdcfadb2d6dea722c3f63,data/esrc/pool_en/summaries/T8/user_3353b96b.txt,01fc13cf9538b750f34ae0ce9f41a23e09a5047d01670db5ece1366fd79aa2a1
user_36dd1253,False,data/esrc/pool_en/truncated_queries/T8/user_36dd1253.txt,27a45a2bd89f3401763d0c82b0b2be7da2bedf263a5694c61563c26e8ba5c23f,data/esrc/pool_en/summaries/T8/user_36dd1253.txt,bec0a7c1eda7b088a9dc3260c107d39d025668112a170c3af63e4be7baebbf7a
user_476670f9,False,data/esrc/pool_en/truncated_queries/T8/user_476670f9.txt,ecbf3789d1a70626b28445c8d1734acb68cfd98f0eebd2790748c534fbbd2a1f,data/esrc/pool_en/summaries/T8/user_476670f9.txt,0b507c04a928740efaa4fd8241f2fa005997258da3aa8b28fba6856e6ba462f5
user_529e3009,True,data/esrc/pool_en/truncated_queries/T8/user_529e3009.txt,7d96181661d84cbcc7ff799434ed441457c267212f75591b563e56fffd7ffec8,data/esrc/pool_en/summaries/T8/user_529e3009.txt,daa906c6420e2be2c217abac41ccc684ed27929d571794a1f316d01948756f68
